	最近生活很混乱。
	但是你得说你别天天痛苦，就在那儿炸来炸去，炸来炸去的，搞得自己也很痛苦。其实说实话你也把妈妈搞得很委屈，因为妈妈很爱你，看见你这个样子我又心疼了，又觉得好像有些事儿帮不上忙，还有点不舒服。说实话孩子我有点不舒服，就是我感觉使不上劲儿，确实很心疼，确实很心疼。因为你炸成这个样子不知道有多少委屈，他说我就是很多委屈，我委这些都来自于你，你说对你给我说一些都开始交流了，那不是很愉快吗？都开始交流对你说哪些委屈就是我没体会到的。你得说你是个人，你不是个什么宝宝，要我来调查你，你你说你说我就听，哪些委屈，你不要这样，不要那样，你就开始给他掰，这个时候不是说道理，掰你说。
	那这个事情你现在还有几个选择，我跟你说假设没有我有这几个选择，你可以这样，你可以不刷牙，你可以不洗澡，你可以不出门，你可以不穿衣服，你也可以早点起床，你也可以不磨磨蹭蹭，你可以把那些迷迷糊糊走来走去的时间砍掉，也可以，作业也没做又迟到，然后跟妈妈吵架，也可以，总之它就是一些选择。如果我不管你还是得找我吵架，孩子我不管你也得找我吵架，因为你自己知道我是咋了这就是一些选择，都可以开始交流了。看到没有？只要你稳定交流就发生。但是最开始还是会一直针对你，因为对你有成见，你得稍微稳一点，慢慢的过渡。好，这一个青春期。
	他是这样子的，就是说他他如果主动跟我讲话，他会说个不停的，他会说好多好多的。但是就是我不能开口。
	你不能开口就两个原因，第一个原因是他对你有成见。我刚才都给你举了三个例子，就是你老公这样说话，你同事这样说话，你老板那样说话，你发现没有？他你小时候就是那样跟他说话，他当然对你就有成见。第二你现在可能还在那样说话，那当然他就会炸掉。听懂我意思吗？就是说当你说的比较好的时候他会烦，是因为成见。当你还那样说话他会炸，是因为本来就会炸，不是你的表达有问题。
	很多青春期父母，因为我的家长就是青春期的父母，经常说我沟通能力不好，我表达能力不好，我说我感觉你挺好的，他说我就是不会跟娃娃沟通，我说你怎么跟我沟通，你就这么跟娃娃沟通就没有问题。真正的关键就是你没有把娃娃当成一个平等的人，所你跟娃娃沟通一直都有问题，这不是沟通能力的问题，是你内心世界有没有尊重他。真的尊重你就会发现你说的话就会到位。
	一些孩子在跟你去讲学校的事情，说个不停的时候，你总想着教育他，就很大的问题总想着教育他，你要跟着他的情绪起伏走。他说班上有人谈恋爱了，女的漂不漂亮？这就是他的情绪。他说不漂亮，成绩好啊，他们怎么玩？对不对？你跟着他就是因为聊天，不是说我们好卑微，要跟着别人的情绪走你跟任何人聊天，你如果是别人为主体在讲事情，你都是跟着他的情绪走，这才叫沟通。如果一旦说你不准这样，你们就不在聊天。
	比如说你跟你闺蜜说，我的老公最近很烦，就是我最近看见他就烦。你闺蜜第一句话就是你的心态有问题，你怎么能能够看见你老公就烦？你看现在你知道看见他反当时我反对你们结婚的时候，你为什么不说？看着他反，你马上就不想聊了，你知道吗？
	其实我们经常跟孩子这样说话，还是说我觉得老师这点不对，你不能觉得老师不对。你不是多喜欢这个老师的吗？而且他是老师，跟着老师学习是天经地义的。孩子不想聊了，你知道吗？那聊不下去了，这天真的就会被聊死。就是你多注意一下，只要我跟你说，我都没有讲这些细节，为啥呢？只要你内心世界把它当成真正平等的人，你好多沟通都对了，你是会沟通的，只是你没有真的在跟孩子沟通，因为你压力很大，焦虑。
	就是你觉得要为孩子承担什么要负这个责任那个责任，觉得还是这点不好，那点不好，然后觉得成绩也一般，然后现在又青春期。你唯唯诺诺，谨谨慎慎，如履薄冰。这个时候你沟通智商为零，相当于你是情商为负的在跟孩子交流。但是实际上你本人情商并不为负，是这些东西卡住了你自己。你稍微把这个心态一调整过来，你所有东西都丝滑了。
	那那我现在就是说反正调整好自己姿态，等耐心的等待就是了。
	等待什么？不用等待，这就是一条路，你走在路上你就走下去就好了。等什么？你要等一个什么结果吗？
	就是说对我态度好一点，然后能听得见我讲话。
	我跟你说孩子对你态度好一点，第一时间你就可以办到。你根本不用等待一个什么东西，他对你的成见可能也就几个月，就是说成见这事儿你不用太多想，反正你就走这条路就好了。他的态度对你是没有问题的，不要老觉得孩子对你的态度有问题，没有问题。你刚才说话的那个姿态，虽然只有寥寥几句话，其实孩子就是一个给人感觉还挺正常的人，其实他一定会炸，你知道吗？但是我们就觉得很奇怪，为什么他会炸？因为在我们心目中，我们依然是父母是有点高高在上的。大家不是觉得以前古人打孩子什么这点不对，那点不对，别人十三四岁就开始工作了，要不然就在考科举，那早就承担自己的社会责任了。你懂吗？
	实际上孩子青春期的时候，你回想一下，比如说中国古代也好，国外也好，别人已经上战场了，他实际上他是需要被尊重对待的。你一旦还是把他当成一个真的小孩子的话，他就一定会炸的。你改变了心态的那一瞬间，他就不会炸了，明白吗？他只是还对你有点成见，经常烦着你，骂骂啰啰嗦嗦，妈妈啰嗦烦着你。但是实际上他不会炸了，其实每一次炸都是真的，因为你没太尊重他。你明白我的意思吗？我打太多青春期教学生的教教到了，这没有一个例外的。
	不管他青春期到什么程度，经常他妈妈给我打电话说是已经在家里面已经破裂了，这孩子跑到学校来也是见人就咬，他整个情绪都激动。然后老师就是老师说他，比如说他的班主任说他他马上就跟班主任队过去，然后说我就从这里跳下去，班主任怂了，然后我说过来你是哪个班的，然后我骂他一顿，只要骂到点子上，站在他的角度骂一顿，心情好了说你是李老师，我听说过你怎么样，就开始跟你聊的特别好，为啥呢？你姿态一对他就没情绪，他就觉得全世界在控制他。一旦出现一个不控制他的人，他还把你当成好朋友了，那个姿态太明白了。刚才我讲了一大段，你其实可能没有很用心的去从感受上去听，你可能一直在思考啊不要思考，去感受。真的把孩子当个人的感觉，你就是说话大声特别猛，其实都没事儿。有些人说有些父母说话唯唯诺诺的，反而孩子天天跟你扯，为什么呢？就是那个姿态。
	你想一下，你是他战友，他突然炸掉我，就发生啥事儿了，发生啥事儿肯定不是因为我这不可能，因为我我我在你心目中没有那么重要。我也没干啥，你自己玩砸了啥事儿，你不会犯了事儿。他说没有，就是老是烦烦烦，你没坏事儿，你那么早你干啥，那就事情肯定可以处理。你要处理你的老师，还是要处理你的作业吗？还是处理你自己吗？
	你不可能要处理我吗？一下孩子就他整个状态就下来了。因为什么？你看到没有？刚才我说我又给你举第四次例子了。刚才我说的那一段你仔细品味一下，我没有把自己放的很小，对不对？我尊重了他的，看到没有我尊重了他的，我没有说你这样跟爸爸说话是不对的，没有这样说话的。
	你作业不做，你还好意思说老师烦。我没有这样小人嘴脸，是不是？只要找到这个姿态，就轻松的要死你整个青春。
	其实孩子在中学阶段要大胆说话就好了，就没有那么多要避的坑，要掌握的事情。其实就是一个心态的东西。我只能抛砖引玉，不然我得给你讲几个小时。就是说我就给你举一些例子，你稍微举一反三一下。刚才我那几段话就是跟孩子说话都在演，其实演的都不是那么的好啊。其实真正如果有个孩子说话的话，你会发现我更自然。就是我我是在想象他稍微还有点别扭。但是你去找一下他背后到底在干什么，就是真的是在关心他，真的是在关心他，不是假的，不是要给他说一个什么道理，不是要指出他的错误，也不是要纠正他的行为，是真的在关心他，不是告诉他该怎么做，而是就是这样，还别在我面前叫嚣。
	我现在你最痛苦的时候，我还是一个陪在你旁边帮你的人，你把我吼吼走了，不要这样到处咬人，特别是你最痛苦的时候，要不要让人看出来？现在假设你有一个敌人，我以前跟学生，当他情绪平复了之后，我要给他做一个德育教育。我说不要不要，这个时候情绪激动被班上的同学看出来，在家里面也是，我说你那个后妈，你不要让他看出你有情绪，如果他真的恨你，你现在浑身上下都是破绽，我马上跟你说你三个破绽，我可以用你的破绽直接把你弄死。你现在还好，你没敌人。同学们最多就是觉得你打扰了他，老师最多觉得你鼓励了他，你父母最多就是觉得你不听话。如果你有个敌人看见你这个样子，完了玩，就利用这一点就可以把你玩死，知道吧？
	痛苦的时候，第一不要让人看出来。第二你理一下思路，看一下哪些东西。第三分清敌我，谁是朋友，谁是敌人，对朋友好一点，这是不是也在说教？但这种说教是听得进去的。你想一下，同样都是说教，就有些人很讨厌说教，有些人很就就还好说教，孩子就听得进去。真正背后的关键就在尊重上。你不是在说你的道理，而是真的在帮他脱离困境。你的说教就不是说教，而是曙光。
	懂我的意思吗？好的，谢谢张伟老师。

（内容由AI生成）
